Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of appeal to the appointed person (TM55),24,,,24,,,27,,,30,,,32,0,,26,0,,26,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of defence and counter-statement (TM8),519,,,519,,,548,,,587,,,600,0,,588,0,,588,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of defence and counter-statement for use in revocation on the grounds of non-use (TM8N),0,,,0,,,35,0,,37,,,39,0,,37,0,,37,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of opposition to proceedings before the Comptroller (F15),2,,,2,,,2,,,0,,,0,0,,0,0,,0,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of partial surender of spec of goods & services for which the mark is registered (TM23),190,,,190,,,238,,,247,,,252,0,,228,0,,228,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of the intention to restrict the availability of samples of biological material to experts (F8A),1,,,1,,,,,,0,,,0,0,,0,0,,0,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice of threatened opposition (TM7A),0,,,0,,,,,,874,874,,1751,1751,,2626,2626,,2626,2626,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Notice to surrender a registration (TM22),204,,,204,,,248,,,252,,,268,0,,268,0,,268,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Opposition and statement of grounds (TM7),1439,,,1439,,,1651,,,1668,,,1718,0,,1727,0,,1727,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Payment of annual fees (SP2),41,,,41,,,41,,,35,,,30,0,,20,0,2.95,20,0,2.95,Making a payment,http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Payment of patent renewal fee (F12),379116,317028,,357327,306525,2.95,402225,341896,2.95,403591,345212,2.95,400052,345751,2.95,400963,336442,2.95,400963,336442,2.95,Making a payment,http://www.ipo.gov.uk/types/patent/p-manage/p-renew.htm,Renewal of granted intellectual property right of a patent.,These costs are based on our fee charges data produced for 2010 to 2011 and exclude policy cost,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Renewal of trade mark (TM11),19282,,,11677,0,2.95,12850,0,2.95,12575,1427,2.95,12201,2726,2.95,12216,4264,,12216,4264,,Registering,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,Renewal of registered intellectual property right for a trade mark.,These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for a certificate if the Comptroller or a certified or uncertified copy from a file or register (F23),4564,970,,4564,,,11398,,,11521,,,11400,0,,11203,0,,11203,0,,Registering,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for a certified copy (TM31R),,,,,,,6720,0,,6523,,,6599,0,,6408,0,,6408,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for a further search under section 17(6) or payment for a supplementary certificate under section 17(8)/Request for search (F9/F9A),15665,10490,,15665,,,17143,,,14821,14082,,14899,14420,,14923,14899,,14923,14899,,Requesting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for certificate authorising the release of a sample of biological material (F8),1,,,1,,,,,,0,,,0,0,,0,0,,0,0,,Requesting a licence or consent,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for cooling off period (TM9C),375,,,375,,,17,,,5,,,123,0,,255,0,,255,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,"Request for EOT to resolve filing deficiencies, deal with post-pub issues or retrospectively extend deadline (TM9)",768,,,768,,,502,,,520,,,465,0,,493,0,,493,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for extension to the cooling off period (TM9E),96,,,96,,,88,,,159,,,173,0,,143,0,,143,0,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for information about applications and registered marks (TM31C),3,,,3,,,185,,,39,25,,38,0,,37,0,,37,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for information in relation to an international TM (TM31M),0,,,0,,,11,0,,9,,,8,0,,7,0,,7,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for opinion as to validity or infringement (F17),24,,,24,,,28,,,29,,,27,0,,22,0,,22,0,,Requesting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for recordal of concurrent registration (TM28),7,,,7,,,,,,0,,,0,0,,0,0,,0,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for statement of reasons for registrar's decision (TM5),12,,,12,,,24,,,31,,,25,0,,26,0,,26,0,,Requesting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request for substantive examination (F10),10070,6526,,10070,,,11645,,,11871,9497,,11839,9853,,11579,9889,,11579,9889,,Requesting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to be informed of future events relating to a patent application or patent (caveat) (F49),143,,,143,,,129,,,118,,,77,0,,71,0,,71,0,,Requesting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to correct a name or address (F20),1309,,,1309,,,,,,898,,,956,0,,982,0,,982,0,,Amending/deleting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to divide an application (TM12),40,,,40,,,40,,,46,,,38,0,,35,0,,35,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to extend a prescribed time limit (F52),659,,,659,,,651,,,635,,,627,0,,585,0,,585,0,,Requesting a licence or consent,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to merge applications or registrations (TM17),489,,,489,,,459,,,388,,,247,0,,89,0,,89,0,,Amending/deleting information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to proceed to evidence rounds (TM53),5,,,5,,,,,,0,,,0,0,,0,0,,0,0,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to reinstate a patent application (F14),64,,,64,,,46,,,45,,,49,0,,51,0,,51,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to restore or renew a registration (TM13),88,,,88,,,85,,,79,,,63,0,,64,0,,64,0,,Registering,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Request to terminate the cooling off period (TM9T),11,,,11,,,2,,,2,,,3,0,,1,0,,1,0,,Requesting a licence or consent,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Requests not to publish patent applications in the Patents Journal,3113,,,10,,,,,,0,,,0,0,,0,0,,0,0,,Requesting a licence or consent,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Responses to patent examinations that amend original specifications,9377,,,9377,,,,,,0,,,0,0,,0,0,,0,0,,Amending/deleting information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Right Start (TM3),5951,5951,,5951,,,9739,,,9957,9957,,10877,10877,,11582,11582,,11582,11582,,Registering,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Second part of Right Start (TM3S),4687,4687,,4687,,,7221,,,7956,7956,,8903,8903,,9127,10127,,9127,10127,,Registering,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Statement of inventorship and of right to grant of a patent (F7),8301,5139,,8301,,,3248,,,3349,,,3297,0,,3325,0,,3325,0,,Providing information,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Trade mark applications (TM3),33950,30424,,37523,36047,216.00,40961,38353,216.00,42574,40308,216.00,44649,43126,216.00,46348,44828,216.00,46348,44828,216.00,Registering,https://www.gov.uk/register-a-trademark,Application to register a trade mark covering one or more classes of goods or service.,These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Intellectual Property Office,IPO,Transform a Madrid protocol designation (TM4),0,,,0,,,,,,0,,,1,0,,1,0,,1,0,,Providing information,http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Land Registry,HMLR,Bulk register updates (BRUs)/Bankruptcy DLGs,356194,,,,,,,,,,,,,,,,,,356194,,,Providing information,http://www.landregistry.gov.uk/professional/business-e-services,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Land Registry,HMLR,Correspondence (Land Registry),318733,,,,,,,,,,,,,,,,,,318733,,,Providing information,http://www.landregistry.gov.uk/professional/business-e-services,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Land Registry,HMLR,Dispositionary First Lease (DFL),166934,,,,,,,,,,,,,,,,,,166934,,,Providing information,http://www.landregistry.gov.uk/professional/business-e-services,,,,Business,Fees and charges
